@RELATION emotions
@attribute Mean_Acc1298_Mean_Mem40_Centroid numeric
@attribute Mean_Acc1298_Mean_Mem40_Rolloff numeric
@attribute Mean_Acc1298_Mean_Mem40_Flux numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_0 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_1 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_2 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_3 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_4 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_5 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_6 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_7 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_8 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_9 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_10 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_11 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_12 numeric
@attribute Mean_Acc1298_Std_Mem40_Centroid numeric
@attribute Mean_Acc1298_Std_Mem40_Rolloff numeric
@attribute Mean_Acc1298_Std_Mem40_Flux numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_0 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_1 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_2 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_3 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_4 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_5 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_6 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_7 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_8 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_9 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_10 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_11 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_12 numeric
@attribute Std_Acc1298_Mean_Mem40_Centroid numeric
@attribute Std_Acc1298_Mean_Mem40_Rolloff numeric
@attribute Std_Acc1298_Mean_Mem40_Flux numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_0 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_1 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_2 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_3 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_4 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_5 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_6 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_7 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_8 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_9 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_10 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_11 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_12 numeric
@attribute Std_Acc1298_Std_Mem40_Centroid numeric
@attribute Std_Acc1298_Std_Mem40_Rolloff numeric
@attribute Std_Acc1298_Std_Mem40_Flux numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_0 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_1 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_2 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_3 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_4 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_5 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_6 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_7 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_8 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_9 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_10 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_11 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_12 numeric
@attribute BH_LowPeakAmp numeric
@attribute BH_LowPeakBPM numeric
@attribute BH_HighPeakAmp numeric
@attribute BH_HighPeakBPM numeric
@attribute BH_HighLowRatio numeric
@attribute BHSUM1 numeric
@attribute BHSUM2 numeric
@attribute BHSUM3 numeric
@attribute amazed-suprised {0,1}
@attribute happy-pleased {0,1}
@attribute relaxing-calm {0,1}
@attribute quiet-still {0,1}
@attribute sad-lonely {0,1}
@attribute angry-aggresive {0,1}
@data
0.034731,0.166653,0.086036,?,5.139119,1.076793,1.304352,?,?,0.301178,0.286891,?,?,0.798157,0.151072,0.448615,0.026911,0.238283,0.039013,5.301389,1.216823,1.210924,0.870835,?,?,0.659573,0.598669,?,0.535867,0.491014,0.495403,0.452722,0.020235,0.113348,0.007594,3.135501,0.527528,0.878712,0.264558,?,0.292827,0.408725,0.252533,?,0.165018,0.254525,0.242216,0.204158,?,?,?,?,0.353926,0.260112,?,?,?,0.215788,0.125154,?,?,0.092988,0.093273,0.080118,0.035295,91,?,182,2,0.129035,0.153852,?,0,0,1,0,1,0
0.038674,0.165774,0.086206,-77.501905,6.065846,?,1.981126,0.705378,?,?,?,0.676641,?,0.37406,0.701561,?,?,0.232385,0.036903,6.118431,1.365777,?,?,?,0.636568,0.632198,0.588891,?,?,0.498472,0.558852,?,0.016259,0.090466,0.006692,4.06415,0.893058,0.595173,?,0.437243,0.469583,0.356914,0.400892,?,0.284939,?,0.255344,0.205165,0.025281,0.104282,?,4.066038,0.349679,0.296491,0.314144,0.180369,?,?,0.132144,0.122505,0.095765,?,0.131556,0.075094,0.70748,79,0.001834,?,2,1.167109,0.11083,1.296629,?,?,1,?,1,?
0.064984,?,?,?,4.550192,?,1.126918,?,0.397545,?,0.531333,?,0.436326,?,0.322187,0.056799,0.072016,?,0.045115,6.303973,2.138303,1.187849,1.097353,?,?,0.805382,0.7179,0.730613,?,0.600369,?,?,0.033311,?,0.008386,2.481751,0.83917,0.501933,?,?,?,0.261096,0.276509,0.220331,0.2375,?,?,?,0.041001,0.055111,?,3.485903,?,0.197995,0.237843,0.208238,?,?,0.128776,0.140606,0.107967,?,0.113052,0.098819,0.093769,59,?,177,?,?,0.05239,?,0,0,1,?,?,1
0.026397,?,0.078939,-73.956632,6.71742,?,2.477158,?,1.529064,?,1.689284,0.720802,?,?,1.088186,?,?,0.033139,0.033106,?,0.995791,0.655432,?,0.612328,0.575324,?,0.473328,0.514247,0.447688,?,?,0.418615,?,0.039756,0.008052,?,0.735892,0.547388,0.638895,?,0.613771,0.716325,?,0.410499,0.399066,?,0.223818,0.261607,?,0.068621,0.029799,4.266548,0.423461,?,0.275344,?,0.197616,0.203477,?,0.15323,?,?,0.113599,0.130456,0.118365,?,?,?,2,0.249093,?,0.493828,0,?,1,1,1,0
?,0.279243,0.098685,-74.149915,?,-0.563684,2.497154,0.823285,?,0.357739,0.574406,?,0.433568,0.290881,?,?,?,0.278893,?,6.149465,1.829553,1.218864,1.211388,0.945912,0.850299,0.617695,0.641544,0.588193,0.583997,0.456792,0.502462,0.453254,?,0.072573,0.007988,2.849276,0.629681,0.392233,?,?,0.384656,0.218816,0.195627,0.172586,?,0.123442,0.176689,0.121025,0.027052,0.073355,?,3.697335,?,0.244794,0.238498,?,0.142643,0.097978,0.111507,?,?,?,?,0.066624,0.067032,59,?,?,3,0.159511,?,0.193509,?,?,?,?,?,1
?,0.235946,0.091354,-68.97358,3.698868,1.082361,1.227564,?,?,?,0.622823,0.257092,0.377194,0.541306,0.307199,0.205131,0.065276,0.235376,0.039136,?,1.175204,1.036534,0.938077,0.643785,0.661654,0.622722,0.619136,0.609162,0.615414,0.571318,0.504472,?,0.03625,0.086405,0.007574,2.319746,?,0.715188,0.686392,?,0.435163,0.343489,0.299259,?,?,0.303753,0.26603,0.273239,0.031936,0.07755,?,3.991324,0.256872,0.301811,0.312131,0.128736,?,?,0.132275,0.156146,?,?,0.102924,0.111696,0.305873,65,0.016195,?,3,0.374139,?,0.918027,?,1,1,0,0,0
0.030919,?,0.080426,?,4.945854,1.761822,1.019767,0.731084,0.981441,?,1.183175,1.223514,0.740915,0.53914,0.220521,0.722795,?,0.144751,0.03293,?,?,0.635697,0.438436,?,0.385542,0.367657,0.368676,0.362066,?,0.362915,0.328389,0.343715,0.013406,0.036151,0.007374,2.601057,0.622933,0.441103,0.326788,0.139052,0.093935,0.190031,?,0.169919,?,?,0.1368,0.09842,0.026297,0.081023,0.029735,4.103891,0.227055,0.126653,0.082337,0.054468,0.048313,?,?,0.065179,0.06779,0.038657,0.043578,0.043468,0.258682,69,0.433313,138,2,0.338799,0.483341,0.87192,?,0,0,?,0,1
0.044781,0.075495,?,?,4.001947,?,?,0.974066,?,0.628499,?,0.169187,0.419128,1.290063,?,1.168054,0.021197,0.053213,?,3.670083,0.912795,0.748275,?,0.440677,0.440091,0.339254,0.423879,0.529922,0.411728,0.371416,0.509909,0.453734,0.037984,?,0.00768,6.571795,1.426872,?,0.60049,?,0.778531,0.305928,?,?,0.724856,?,1.181478,1.066014,0.031523,0.081155,?,5.277163,0.45958,0.369506,?,0.22899,0.26485,0.172158,?,0.411033,?,0.236264,0.295025,0.286266,0.012098,80,?,160,?,?,0,0.04159,0,0,0,?,?,0
?,?,0.091568,-70.698102,3.072442,?,1.993607,0.386897,0.781711,0.593979,0.359247,?,0.537368,?,0.733638,0.784378,0.068877,0.276475,?,4.87673,1.363096,0.830408,0.862018,0.641477,0.585644,0.504254,?,?,?,0.468091,0.476034,0.414684,0.02892,0.114447,0.007283,2.14063,0.714441,0.585106,0.437835,?,?,?,0.257473,?,0.242023,0.243176,?,0.244572,0.022277,0.097159,?,4.43605,0.236326,0.222516,0.213125,?,?,0.095479,?,0.10186,0.078125,0.089693,0.154439,0.095207,0.031941,?,0.034263,150,2,?,0.269288,0.594269,?,1,1,0,0,0
0.058562,0.155087,?,-68.730464,?,?,0.693808,0.33877,?,0.324605,?,0.533622,?,?,0.346723,0.31954,?,0.178039,0.042975,?,?,?,0.771164,0.611288,0.55774,0.534361,0.515106,0.505534,0.547082,0.543948,0.54869,0.467192,0.024541,0.065976,?,2.417101,0.659144,0.659449,0.43221,0.284576,?,?,?,?,0.430377,?,?,0.181615,0.020404,?,?,3.702831,0.22701,0.263475,?,0.083826,0.091495,0.055751,?,0.075841,0.094214,0.077812,0.086088,?,0.152174,?,?,130,2,0.264897,?,0.871924,1,0,0,?,?,1
0.042421,0.06925,?,-80.67018,9.280361,-0.795268,2.120061,0.885239,0.886188,0.631933,?,0.252705,?,?,0.159243,0.158689,?,?,?,?,?,?,0.544754,0.552736,0.497935,0.446997,0.561696,?,0.529101,?,0.609696,0.524287,0.016071,0.037026,0.009194,7.142825,1.441464,0.432295,?,0.698052,0.370847,?,?,0.43615,0.580668,0.419506,0.556965,0.514307,0.027058,0.053807,?,?,0.607476,0.193206,0.159256,0.169644,0.119436,?,0.207659,0.19201,0.195238,?,0.337381,0.199931,0.078529,78,?,?,2,?,0.070038,0.613866,0,0,1,?,0,0
?,?,0.094201,-68.406334,4.502215,0.634231,1.388073,0.931668,0.761655,?,0.494978,0.19706,0.355062,?,0.618456,0.310737,0.058918,0.189239,0.037833,6.077897,1.803099,1.209848,0.930278,0.962253,?,0.625789,0.595727,?,?,0.496206,0.472554,?,0.020209,?,?,1.833159,0.719493,0.33271,0.313291,0.423004,0.213055,0.213677,0.147113,?,0.155928,0.154356,?,?,0.03701,?,0.029182,?,?,?,0.150262,0.212128,0.12175,?,0.100146,?,0.079705,?,0.085275,?,0.189838,67,0.002621,134,?,0.377987,0.046083,?,0,?,0,0,0,1
0.063169,0.162713,0.085342,-70.507395,3.693131,0.65534,1.300283,0.801208,?,0.698114,0.867604,0.946097,?,0.397347,0.466566,?,0.040035,0.148334,0.034189,3.810015,1.016096,?,?,0.534109,?,?,0.504543,0.498591,0.491573,?,0.427103,?,0.0212,0.051756,0.008718,2.769335,0.441766,0.771874,0.477324,0.319569,0.270972,?,?,0.391483,0.370361,0.37586,0.255935,0.248899,0.023682,?,0.029507,3.930286,0.262519,?,?,0.102583,0.088625,0.089534,?,0.104299,0.092889,0.110468,?,0.061317,1.114043,66,?,?,2,?,1.276947,2.579975,1,?,0,?,0,0
0.032004,0.069772,0.081334,?,7.340928,?,1.773946,1.190642,0.661326,0.234756,0.244828,?,0.377815,?,0.521324,?,0.018683,0.078969,0.034387,5.168958,1.688497,0.993453,0.553269,?,0.538321,?,?,0.425326,?,0.51395,?,0.393672,0.016956,0.074246,0.007352,3.553779,1.585255,0.462194,0.293887,0.353061,0.331816,0.389069,0.28931,0.272449,0.282675,0.293839,0.276211,0.310648,?,0.11123,?,4.141134,0.494401,?,0.125325,?,0.13974,0.12568,0.114701,?,0.208859,?,?,0.063802,0.124447,?,0,204,2,?,?,0.704362,?,?,1,0,?,0
0.035977,?,?,-73.146643,6.315539,0.871116,0.735255,0.528011,?,0.565179,?,0.648105,0.511962,?,?,?,0.02251,0.199212,?,3.556611,?,0.751461,?,0.639367,0.613693,?,0.591945,0.667725,0.690295,0.588405,0.67186,0.517636,?,?,?,2.443123,?,0.510963,?,?,0.396793,0.398797,0.349173,0.33506,0.32275,?,0.326922,0.234105,?,0.143586,?,4.437819,0.353536,0.171036,0.175926,0.20393,0.202636,0.175464,0.169902,0.307834,0.225959,0.175493,0.198315,0.120916,0.038367,?,0.044748,?,?,0.128921,0.064599,0.200475,?,1,0,0,0,0
0.124628,0.262126,0.088286,?,2.930643,?,1.396992,0.577302,0.079088,0.446914,?,1.259782,?,?,0.543511,?,0.073384,0.170748,?,4.422413,1.325725,1.388104,0.893238,0.848487,?,0.640364,0.643027,0.617996,?,0.588624,0.490879,0.473501,0.024985,0.042482,0.007235,3.307818,0.709652,1.039546,0.755093,0.510433,0.483288,0.318069,0.365866,?,0.25452,0.375408,?,0.322965,0.032635,0.057169,0.02952,4.222461,?,0.303093,?,0.207119,0.148526,0.129615,?,?,?,0.139957,0.103371,?,0.14673,?,0.656695,?,2,0.50402,0.720786,1.265261,0,1,?,0,0,0
0.030395,0.076078,0.090462,-78.811242,3.728447,?,2.039208,?,1.510876,1.087001,?,0.841672,0.955622,0.567459,0.559133,0.475799,0.034614,0.143491,0.038465,5.648552,?,?,?,?,0.577287,0.509926,?,0.476535,?,0.489105,0.420859,0.397122,?,?,0.008564,?,1.161883,0.394848,0.367658,0.361894,0.30587,0.161923,?,?,0.272241,0.314235,0.221986,0.181877,0.028711,0.080555,?,4.351867,?,0.226938,0.20695,0.178781,0.140284,0.116456,0.118103,0.107284,0.127736,0.138748,0.067128,0.071154,0.025073,68,0.008266,204,3,?,?,0.106852,0,0,0,0,1,1
0.152477,0.574501,?,?,2.664424,0.96003,?,1.155961,0.602254,0.510832,0.38702,1.125728,0.481861,0.913516,?,?,0.139685,0.328228,0.035992,5.442701,?,?,0.708078,0.681276,?,0.488458,?,?,?,0.496393,0.393212,0.406787,0.020906,0.081376,0.007226,2.753911,0.604319,0.846918,0.433778,0.34988,?,0.107178,?,?,0.092999,0.121122,?,0.115053,0.020082,0.017141,0.02928,3.741103,0.227271,0.170587,0.123746,0.060883,0.071671,0.058788,0.054269,0.043153,0.062901,0.044549,0.050669,0.05352,?,66,1.693339,132,?,1.657962,1.737106,3.422899,1,0,?,0,0,0
?,?,0.082213,-74.904585,5.311599,?,2.601184,1.366456,1.211284,0.98402,0.588133,0.860405,0.847581,0.257134,-0.023016,0.239465,0.038788,0.125531,?,3.334232,1.450685,?,0.594767,0.511795,0.53688,0.541025,0.480955,0.507037,0.439625,?,0.420282,0.377406,0.023406,0.074312,?,3.646699,1.258564,?,0.459677,0.350672,0.259804,?,0.215275,?,0.203888,0.182662,0.229036,0.137237,0.033229,?,0.029917,3.9695,?,0.226289,0.200209,0.096517,0.129709,0.118665,0.106167,?,0.069802,?,0.063659,0.051015,0.066168,?,0.426427,168,2,0.200127,0.843088,?,0,0,0,0,0,?
0.174965,0.544257,?,?,1.660375,0.367742,0.917574,0.990992,?,?,0.459195,?,?,0.523514,0.191279,0.353198,0.129921,0.290624,?,?,1.169372,?,?,0.550906,0.483114,0.495494,0.41412,0.467667,0.400346,0.410832,0.442905,?,?,?,0.0059,2.17195,0.306443,0.360884,0.250997,0.211778,0.165114,?,0.16406,?,0.102478,?,0.123237,0.100054,0.014994,0.025466,0.030259,3.547493,0.138179,0.111024,0.109675,?,0.069673,0.061393,0.048667,0.058985,0.045488,0.051311,0.054614,0.054532,1.188861,68,?,136,2,1.201197,1.435895,2.656136,1,?,0,0,0,0
?,0.180256,?,-74.094832,?,1.097453,?,?,?,0.633663,?,0.71453,0.34445,?,0.299825,0.472307,0.058036,0.234827,0.040081,5.700182,?,?,0.965795,0.734156,0.625889,0.555401,0.585688,0.496962,0.491351,?,0.434422,?,0.034307,0.080151,?,3.837103,0.656959,?,0.653541,0.404674,0.396628,?,0.313883,?,0.422726,0.324582,?,0.199175,0.032538,0.059021,0.028805,3.640447,?,?,0.363183,0.253099,0.135935,0.099844,?,0.099773,?,0.074927,?,?,?,?,0.01438,?,2,0.558981,0.079784,0.877491,0,1,1,?,?,?
?,?,0.076686,-83.289375,5.632994,1.528128,1.526764,1.081583,1.093585,0.61373,0.322409,0.617342,?,?,0.513551,0.56249,?,0.08201,0.031047,4.364011,1.162568,0.85349,0.59471,0.541643,0.440751,0.486205,0.46786,0.505428,0.51991,0.537654,?,?,0.015921,0.04425,0.008175,?,?,0.969685,0.371662,0.328412,0.188994,?,?,0.421376,0.437714,0.37866,0.394674,?,?,0.07951,0.030252,4.597927,?,?,0.152764,0.129513,0.092179,0.099765,0.110369,0.11924,?,?,?,0.157816,?,?,0.22459,160,?,0.404458,0.177013,?,0,?,1,1,1,?
?,0.251114,?,-67.657984,2.144222,2.469966,?,1.667266,0.915825,1.021892,?,?,?,?,0.102432,0.202953,0.08,0.263971,0.043785,?,1.825113,1.402365,0.660933,0.648943,?,?,?,?,?,?,0.759374,0.468661,0.019502,0.048051,?,?,0.36286,0.625575,0.211724,?,?,0.230809,?,0.135621,?,0.089936,?,0.0671,0.020965,0.033186,?,4.218026,?,0.173113,0.061927,?,0.055238,0.065124,?,0.056887,0.048366,0.04625,0.072605,?,?,?,0.111567,136,2,?,0.125963,?,1,?,0,?,?,1
?,?,0.084732,-74.971441,5.607065,?,?,0.872804,1.016713,1.168114,?,?,0.384527,0.554631,?,?,0.036256,0.220299,0.038246,6.059808,1.692642,1.042144,?,0.892381,0.673812,0.636387,0.581392,?,0.573111,0.505108,0.526706,0.486981,0.020967,?,0.007784,3.982785,1.309836,?,0.821484,0.547406,?,?,0.343807,?,0.380573,?,0.357664,?,?,0.122616,0.029078,3.62657,0.369257,?,?,0.188964,0.13748,0.116999,?,?,?,?,?,0.089027,0.534245,75,?,?,2,0.972093,0.036311,1.261903,0,?,?,?,1,?
?,0.235779,0.087717,-71.261883,4.060915,?,1.439402,0.200722,?,0.040569,-0.001505,?,0.634051,0.317493,0.431671,0.279292,0.059167,0.202853,0.036482,5.378733,1.810605,1.210233,0.944729,0.812555,0.733162,?,0.708887,?,0.604577,0.585435,0.480782,0.494508,0.027152,0.080377,0.006839,6.487334,1.271196,0.884491,0.960282,?,0.412547,?,?,0.405875,0.397877,?,?,0.217591,0.030882,0.084727,0.029035,4.471056,0.662812,0.341701,0.358965,?,0.239827,0.207468,0.159523,0.132441,0.138643,0.169194,0.099244,0.120334,?,100,?,200,?,?,0.206709,0.900712,0,?,0,0,?,?
?,?,0.087806,?,5.674185,-2.235707,?,0.031415,1.49772,?,?,0.9425,?,0.977477,?,0.545164,0.037149,?,0.033719,4.501468,1.326894,?,?,0.679905,0.704204,0.609424,0.568694,0.602412,0.55223,0.540709,0.514078,0.459413,0.026244,0.061987,0.006786,?,1.158515,?,0.643587,0.529499,?,0.285764,?,?,0.400316,?,0.227569,?,0.025058,0.053888,0.02968,?,0.388526,0.228898,0.209064,?,0.16043,0.134628,0.098055,?,0.108447,0.092261,0.103391,0.080164,0.025526,66,0.225247,132,?,0.076868,0.349698,0.429966,0,?,?,?,0,?
0.070886,0.269692,0.092204,?,?,-0.68159,0.334413,0.9041,1.497044,?,0.801078,0.795022,?,?,0.652578,0.645348,?,0.2736,0.037952,4.503481,0.853468,0.833044,0.603076,?,0.493937,?,?,?,?,0.356921,0.337254,0.323069,0.014445,0.052448,0.006795,1.148407,0.470296,0.263556,0.369898,?,0.163081,0.079442,0.068473,0.070493,0.088465,0.067061,0.053202,?,0.020961,0.032325,0.02883,3.668686,0.273784,0.048375,0.204319,?,0.067928,?,0.056029,?,0.040276,0.0521,0.035783,0.043037,0.702683,68,0.976442,136,2,0.769534,?,?,1,?,0,0,0,1
?,0.463525,?,?,3.500456,-0.23202,2.006773,0.769196,?,0.853143,?,0.365384,0.709157,0.449613,0.67596,0.627266,0.04709,0.419794,0.056623,6.844765,2.25031,?,?,0.909234,0.757273,0.664343,?,0.683574,?,0.619916,?,0.61422,?,?,?,2.970435,0.773254,0.561234,?,0.537163,0.350219,?,0.342156,0.276711,0.232852,0.229285,0.220474,0.20197,0.029058,0.043968,0.026692,3.394722,?,0.292489,0.281258,0.163615,0.160509,0.115573,0.140707,0.124638,0.145803,?,0.135057,0.131919,?,?,0.158444,176,?,0.460454,0.119255,0.961923,?,0,0,?,0,?
?,?,?,-64.387461,2.601808,-0.081195,?,0.604222,0.627464,?,0.436206,0.62475,0.656124,0.601632,?,0.287184,0.074921,0.271175,0.038185,4.56958,?,0.896689,0.630159,0.625212,0.573932,?,?,?,?,0.480339,0.429721,0.417354,?,0.11007,0.014215,3.901853,0.725072,0.740133,0.314571,0.322914,0.45331,0.448982,?,0.23336,0.318509,0.306805,0.208528,?,?,?,?,4.22837,0.52867,0.23702,0.155013,?,?,0.155621,?,0.093322,0.126653,?,0.089605,0.108924,?,64,0.578331,128,2,?,?,1.777028,1,1,0,0,?,0
?,0.169621,0.078533,?,4.290378,-0.002037,?,0.393175,0.470849,0.746969,0.576836,0.738678,0.462158,0.727663,0.222645,?,0.026296,0.076018,?,?,0.728133,0.616357,0.658564,0.507325,0.466024,?,0.443465,0.426977,0.424259,0.403924,0.386905,0.386301,0.014434,?,0.009031,3.382239,?,0.703981,1.472541,0.412012,?,0.589286,?,0.245276,?,?,0.244513,0.272066,0.026545,?,?,3.890454,?,?,?,?,?,?,0.069322,0.083227,0.072302,0.095323,?,0.066782,0.04017,?,0.077657,142,2,?,0.230053,0.514729,0,1,0,0,?,0
0.080853,0.170186,?,-63.764352,?,0.689604,?,0.816598,0.583622,-0.068535,0.152165,0.197715,0.395193,0.185339,0.485378,0.39673,0.034719,?,?,3.195986,0.865452,0.571835,0.46617,0.467637,0.417777,?,0.496321,?,?,?,0.492552,0.458174,0.020012,?,0.008043,?,0.675869,?,0.334096,0.345194,0.44566,0.219695,?,0.297069,0.335764,0.351332,0.481875,0.434869,?,?,0.030484,3.489058,?,0.189372,0.096616,0.109197,0.088418,?,?,?,0.104511,0.16366,?,0.155746,0.09538,93,0.057246,186,?,0.210682,0.448417,0.887651,1,0,?,0,0,0
0.07588,0.415133,0.09547,-72.021922,1.65277,?,?,1.768205,1.244006,0.812403,1.0019,0.53248,0.562641,0.747206,0.422803,0.559508,0.073458,0.360671,0.041128,5.685952,?,?,0.850179,0.689694,?,?,0.438057,?,0.436244,0.418604,0.377381,0.369731,?,0.048874,0.006228,?,0.552137,0.719892,0.471715,?,0.174435,0.149787,0.148153,0.1276,0.065979,?,?,0.070852,?,0.023818,0.028566,3.50627,?,0.193227,0.081382,0.097357,0.083113,0.067518,0.067628,?,0.0459,0.05173,?,0.040636,0.452238,68,?,136,2,0.519582,0.692006,1.256205,1,?,?,?,0,1
0.010201,0.617722,?,-87.988669,8.359849,?,1.638622,0.957354,1.185031,?,0.592638,0.489282,0.644543,0.537776,0.362532,0.269506,0.008608,0.469152,?,7.097305,2.421803,?,?,0.636283,0.599518,0.533115,0.546572,0.377332,0.585511,0.51069,0.440184,?,?,0.098983,0.02273,3.894635,0.990113,0.350548,0.243612,0.210864,?,0.116081,0.102951,?,0.092761,0.087495,0.082899,?,0.029516,0.025938,0.02562,4.200382,?,0.14513,0.119631,?,0.0872,0.083667,?,0.069376,0.121097,0.086738,?,?,0.318984,?,0.727568,128,2,0.538392,0.936542,1.495651,?,0,0,0,?,1
0.124974,0.2469,0.076837,-64.683503,?,-0.334172,1.229398,0.327778,0.559885,?,0.333681,0.354917,0.477054,0.401558,0.531188,0.543282,0.034234,?,0.027563,2.430765,0.829156,0.713785,0.938902,0.643,0.551342,?,?,0.515967,0.490537,0.437645,?,?,0.013998,0.050869,0.009946,1.530032,0.377724,?,?,?,0.233963,0.235021,0.212694,?,0.226177,?,?,0.227887,?,?,0.031105,4.44178,0.449596,0.247498,0.296315,0.161113,0.1204,0.112499,0.089459,?,0.098797,?,0.066891,0.092731,0.07805,84,0.120807,168,?,?,0.150835,1.190895,?,1,0,0,0,0
0.082983,?,?,-71.372412,3.145401,0.714134,?,0.862533,0.806506,0.398096,?,?,0.78221,0.54173,0.585211,?,0.082135,0.303433,0.033937,?,?,?,0.586996,0.529168,0.504591,0.491653,0.500285,0.456431,0.459529,0.47544,0.509359,0.485804,?,?,0.006586,2.870643,0.353131,?,0.191284,0.204201,0.241819,?,?,0.135467,0.180765,?,0.36131,0.30325,0.027099,0.043483,0.029805,3.748058,0.215116,?,?,0.08498,0.077117,0.084654,0.073212,0.074158,0.076209,0.072488,0.081253,?,?,66,0.719361,132,?,?,0.719361,?,?,0,?,0,0,0
0.040818,?,?,?,?,?,2.073003,0.189105,0.822186,?,0.13108,?,0.453037,?,0.856998,?,0.011069,0.024813,0.030623,3.33838,?,0.655961,0.496168,0.51501,0.412758,?,0.408523,0.3985,0.422852,?,0.455606,0.450419,0.016189,0.042041,0.008099,?,?,1.031071,0.564339,0.699728,?,0.314771,?,0.359665,0.37486,?,0.669253,0.531872,?,0.0609,0.030183,4.724008,0.743022,?,0.148695,0.13288,0.075656,?,?,?,0.113323,0.156909,0.232385,?,0.013309,?,?,150,?,0.129483,?,?,?,?,0,1,?,0
0.086124,0.155707,?,-72.657464,6.928686,?,1.205349,-0.376918,?,0.633687,1.033081,0.642657,?,0.350527,0.887527,0.431368,?,?,0.037849,?,1.695705,0.852433,0.555503,0.434803,0.492276,0.425246,0.41544,?,0.411089,0.393031,0.44911,0.315902,0.012427,0.020695,?,?,?,0.545832,0.195892,0.172082,0.227886,0.177447,0.180275,0.131499,?,0.089988,?,0.103983,0.023003,?,?,4.150037,?,0.233739,0.100991,?,0.082862,0.064722,0.080083,0.054248,0.084305,?,0.076392,0.037729,?,?,0.738897,128,2,0.564109,0.765339,?,1,?,0,0,0,1
0.115636,0.441821,?,-70.34185,?,1.08692,0.615066,0.803207,?,?,0.788295,0.892701,?,0.785338,0.453032,0.598925,?,0.378189,0.038519,5.341694,1.624186,1.002649,?,?,0.497048,0.452183,0.360535,?,0.410856,0.448534,0.445181,?,0.013363,0.044887,0.007338,1.790994,0.495953,0.375276,0.139571,?,0.08174,?,0.144074,0.133711,0.143659,0.115322,0.052091,0.051521,0.013152,0.020035,0.029565,?,0.428048,0.117842,?,?,?,?,0.040925,?,?,0.042073,0.045348,?,0.902254,66,0.642348,132,?,1.107557,0.71947,1.936093,?,?,0,0,?,1
